dataset,fold,phase,fe,count
musk-2,0,early,minmax,0
musk-2,0,mid,identity,12
musk-2,0,mid,autofeat,6
musk-2,0,mid,random_proj,8
musk-2,0,mid,ht_svd,7
musk-2,0,mid,robust,0
musk-2,0,mid,minmax,0
musk-2,0,late,identity,1
musk-2,0,late,autofeat,11
musk-2,0,late,random_proj,6
musk-2,0,late,ht_svd,15
musk-2,0,late,robust,0
musk-2,0,late,minmax,0
musk-2,1,early,identity,7
musk-2,1,early,autofeat,14
musk-2,1,early,random_proj,10
musk-2,1,early,ht_svd,3
musk-2,1,early,robust,0
musk-2,1,early,minmax,0
musk-2,1,mid,identity,8
musk-2,1,mid,autofeat,13
musk-2,1,mid,random_proj,9
musk-2,1,mid,ht_svd,3
musk-2,1,mid,robust,0
musk-2,1,mid,minmax,0
musk-2,1,late,identity,1
musk-2,1,late,autofeat,7
musk-2,1,late,random_proj,22
musk-2,1,late,ht_svd,3
musk-2,1,late,robust,0
musk-2,1,late,minmax,0
musk-2,2,early,identity,10
musk-2,2,early,autofeat,16
musk-2,2,early,random_proj,6
musk-2,2,early,ht_svd,2
musk-2,2,early,robust,0
musk-2,2,early,minmax,0
musk-2,2,mid,identity,12
musk-2,2,mid,autofeat,9
musk-2,2,mid,random_proj,7
musk-2,2,mid,ht_svd,5
musk-2,2,mid,robust,0
musk-2,2,mid,minmax,0
musk-2,2,late,identity,13
musk-2,2,late,autofeat,11
musk-2,2,late,random_proj,8
musk-2,2,late,ht_svd,1
musk-2,2,late,robust,0
musk-2,2,late,minmax,0
musk-2,3,early,identity,7
musk-2,3,early,autofeat,19
musk-2,3,early,random_proj,2
musk-2,3,early,ht_svd,6
musk-2,3,early,robust,0
musk-2,3,early,minmax,0
musk-2,3,mid,identity,3
musk-2,3,mid,autofeat,11
musk-2,3,mid,random_proj,5
musk-2,3,mid,ht_svd,14
musk-2,3,mid,robust,0
musk-2,3,mid,minmax,0
musk-2,3,late,identity,5
musk-2,3,late,autofeat,14
musk-2,3,late,random_proj,6
musk-2,3,late,ht_svd,8
musk-2,3,late,robust,0
musk-2,3,late,minmax,0
pittsburg-bridges-MATERIAL,0,early,identity,10
pittsburg-bridges-MATERIAL,0,early,autofeat,3
pittsburg-bridges-MATERIAL,0,early,random_proj,19
pittsburg-bridges-MATERIAL,0,early,ht_svd,2
pittsburg-bridges-MATERIAL,0,early,robust,0
pittsburg-bridges-MATERIAL,0,early,minmax,0
pittsburg-bridges-MATERIAL,0,mid,identity,13
pittsburg-bridges-MATERIAL,0,mid,autofeat,1
